Brand,Price,Address,image_link-src
Gilera piaggio stalker 50,350.000 ,Plateau,media/annonces/pics/d21019275a66badba841be57ea1c4297.jpg
T-max,1.700.000 ,Plateau,media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg
Honda sh,1.200.000 ,Plateau,media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg
Honda hornet 600,1.200.000 ,Plateau,media/annonces/pics/6f9a2918bfdb5e060105060b6f2026ba.jpg
Tmax 530,2.300.000 ,Plateau,media/annonces/pics/940f418806fbd25c6f871ba3b36887f1.jpg
Vespa 250,550.000 ,Plateau,media/annonces/pics/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg
Kymko 4 temps 125,140.000 ,Plateau,media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg
Honda hornet 600,1.000.000 ,Plateau,media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg
Tmax 500,1.650.000 ,Plateau,media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg
Yamaha  Yzf 450,4.000.000 ,Plateau,media/annonces/pics/1e61fbab98fe97e56b63c87d0e923b38.jpg
Honda transalp 700,2.000.000 ,Plateau,media/annonces/pics/0f5d602de76d89d2db55e555f94192ac.jpg
Vend  hoverboard  led venant des USA,100.000 ,Plateau,media/annonces/pics/7c9b21df1416530386abf290c945ea98.png
SUPER MOTOS,1.250.000 ,Plateau,media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg
TMAX 530 DX,4.500.000 ,Plateau,media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg
Liberty 4temps50,700.000 ,Plateau,media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg
Xc 300 versity,550.000 ,Plateau,media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg
T-max 530 iron,4.000.000 ,Plateau,media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg
Honda sh 125,975.000 ,Plateau,media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg
Scooter honda arobase,250.000 ,Plateau,media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg
Typhoon,220.000 ,Plateau,media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg
Tmax 500 injection en parfait état,1.200.000 ,Plateau,media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg
Scooter  majesty,500.000 ,Plateau,media/annonces/pics/b9ca13aaf98409d8ca63422c9031aecf.jpg
Scooter,420.000 ,Plateau,media/annonces/pics/fb9437845d1d47458b27080e799c51c2.jpg
Motocyclettes et  tricycles,350.000 ,Plateau,media/annonces/pics/5b5212ae986193b7588676e144165006.jpg
Moto  Xc 300,700.000 ,Plateau,media/annonces/pics/37cb84ea3e4c6ea71cc403457f5fe559.jpg
Moto enduro  bmw,2.000.000 ,Plateau,media/annonces/pics/f047d366eccecc75264707856bf1c41f.jpg
Moto,550.000 ,Plateau,media/annonces/pics/e0ec05eadee07a25f07e51acacfaa496.jpg
Moto djakarta,250.000 ,Plateau,media/annonces/pics/8f4bfb0e6da657d81393b7db56f790be.jpg
Yamaha MT 07,3.800.000 ,Plateau,media/annonces/pics/1592e23f45fd8bac0d5329265a49f43b.jpg
Moto zip piaggio,200.000 ,Plateau,media/annonces/pics/4189bc89fdb8b7c50a516e350a44ab7b.jpg
Moto apache,400.000 ,Plateau,media/annonces/pics/9e42d1d896c5933244a1b2d07e28c70c.jpg
BMW gs 1200,3.500.000 ,Plateau,media/annonces/pics/12e95530b56af38518e64ee07d771534.jpg
Moto bmw gs 1200,4.250.000 ,Plateau,media/annonces/pics/9a972f46c814e79972f834879a768275.jpg
Tmax 530,1.400.000 ,Plateau,media/annonces/pics/885768015c7fa833af629015df2ae187.jpg
Liberty injection,325.000 ,Plateau,media/annonces/pics/80c4464529e043f8003e1ceeb35c051b.jpg
Moto scooter,500.000 ,Plateau,media/annonces/pics/3c669aef26a7bb4b2dc043e147ec82f0.jpg
Scooter sh,500.000 ,Plateau,media/annonces/pics/a6c80b50dc4f316e108b369d4184af01.jpg
Kawasaki z750,1.650.000 ,Plateau,media/annonces/pics/25840daef2521cb415e39667e1f0af39.jpg
Honda nc750x,2.700.000 ,Plateau,media/annonces/pics/63b066899aa073a68914bba6510bd25d.jpg
Moto SH,1.100.000 ,Plateau,media/annonces/pics/f44b671943880a06c33be135510dce70.jpg
Tmax 500,850.000 ,Plateau,media/annonces/pics/d5bb0b40393c5d360e6490fe5706f515.jpg
Ktm duke 125,1.580.000 ,Fann,media/annonces/pics/329e217f128e284cb3a3870cefd3585b.jpg
Honda integra,1.500.000 ,Plateau,media/annonces/pics/538e2044e5856b1db99b8c39ef5b8467.jpg
Yamaha xcity 250,500.000 ,Plateau,media/annonces/pics/ab9b3f44b971dc254016655eebc73b9a.jpg
Honda sh 300i,800.000 ,Plateau,media/annonces/pics/ea366d76313a32d692522b00655b878c.jpg
Scooter suzuki,300.000 ,Plateau,media/annonces/pics/f2334c59b04bcf5e91bc06ce386de6b2.jpg
Suzuki burgman 200 injection,550.000 ,Golf,media/annonces/pics/e52140ef7f045d93a161351415fb28aa.jpg
Kawasaki z800,2.000.000 ,Parcelles assainies,media/annonces/pics/a3e0021923a3d1d57ec389f1292146f0.jpg
Moto tvs,900.000 ,Fass,media/annonces/pics/4ccc3b7e264fa17a267e04905c03b0d8.jpg
Malaguty madison 150,450.000 ,Parcelles assainies,media/annonces/pics/1283dbe95e48edc5d62e6c67245e3ae3.png
Yamaha Tmax DX,3.500.000 ,Point E,media/annonces/pics/f76dee3759a5d9cc0ca373c346dc7091.jpg
Scooter beverly,580.000 ,Plateau,media/annonces/pics/7de9e87668579135066bf91fd31d43b0.jpg
Kymco agility 125,200.000 ,Parcelles assainies,media/annonces/pics/6ec12b987f5a1598ecfbeacab9aecba2.png
Yamaha majesty 150,290.000 ,Dakar,media/annonces/pics/0d84bd7d2478aee270e5a02506351077.png
Yamaha fz1,1.800.000 ,Nord Foire,media/annonces/pics/26d0d27d95308990411012bba3f8d1ab.jpg
Yamaha tmax 530,1.900.000 ,Dakar,media/annonces/pics/c8b25c713f7bae3e46003297cf26302f.jpg
Majesty Skyliner 125,300.000 ,Parcelles assainies,media/annonces/pics/545adf3f35d33d46bbee4d9df9cf717d.jpeg
Yamaha yz85 / yz450,2.400.000 ,Hann Maristes,media/annonces/pics/4297f0b2c16b681318e2c764e58573c6.jpg
Yamaha yz 125,800.000 ,Almadies,media/annonces/pics/7fb3c94dc10dcbc0f4303df31c2b69cd.jpg
Sh,390.000 ,Parcelles assainies,media/annonces/pics/5814d7f88b032b373437d14510a5ea6d.jpg
Moto bmw gs1200,3.500.000 ,Médina,media/annonces/pics/95e2ea514841f6833ccecc33ba1d0386.jpg
Mbk booster,195.000 ,Dakar,media/annonces/pics/aa15d3d988c8197b7ab9f081aee090ff.jpg
Moto goccla venant d’Italie  moteur 50 très puissant et tt les papiers en règle,180 ,Fass,media/annonces/pics/a7110c1a2ef0af7fbf014d3df69e21d1.jpeg
Yamaha 250 tt,1.600.000 ,Mbour,media/annonces/pics/09ca6437edae43b5afed88af1ca5284d.jpg
Moto bmw gs 1200,3.200.000 ,Sacré Coeur,media/annonces/pics/3830d2e22231ccf14f70b4b8194ad9ca.jpg
Yamaha tmax 530,1.850.000 ,Mbao,media/annonces/pics/ac8bfdcd60c165afbfddf0a1b91f4269.jpeg
Tmax 500,1.200.000 ,Dakar,media/annonces/pics/e2884a4c0511fbd1a6f8b3f4f91846b7.jpg
Yamaha yz 125,800.000 ,Almadies,media/annonces/pics/e7f5748532725c23b97790132c3df555.jpg
Quad polaris 500,3.560.000 ,Saly,media/annonces/pics/29223fe3220eca908eb28d97ae17b9da.jpg
moto majesty 150,200.000 ,Keur Massar,img/nophoto.png
Piaggio NRG DD kit 70,350.000 ,Point E,media/annonces/pics/9ea70cdf0a022570ae475cadffa17cb6.jpg
Ducati hypermotard evo sp 2011,1.350.000 ,Dakar,media/annonces/pics/8f33f59f2665f7e647f8568941b53684.jpg
Vend  Moto Kawasaki  eliminator 125,700.000 ,Mamelles,media/annonces/pics/273c9078331c14343ffe4d16927f7904.jpg
Vend  Moto  BMW GS800,2.200.000 ,Mamelles,media/annonces/pics/6b1b47b095f5231e65c47cdb3b06189f.jpg
Moto Xmax,910.000 ,Dakar,media/annonces/pics/c366ca0dee3b1092d9b8618db58f2a93.png
Sym wolf 250,1.000.000 ,Dakar,media/annonces/pics/288a845f98b4c1e66472eb1233937828.png
Moto cross,350.000 ,Scat Urbam,media/annonces/pics/10d892d9a642fdf3d8fed7ac146e870f.png
Piaggio liberty 80,150.000 ,Dakar,media/annonces/pics/12595807127ed2c7cb3fb3d7cabbb192.png
Burgman 125,500.000 ,Dakar,media/annonces/pics/671108e8a0307569dd5a3261ca4f87de.png
Kawasaki Z1800,3.000.000 ,Dakar,media/annonces/pics/5ae87a6166da57cd974ba387f2159d3b.jpg
Yamaha N MAX,1.200.000 ,HLM,media/annonces/pics/bd23e0baf61ca9740867a7fbbaa6425a.jpeg
PIAGGIO LIBERTY 4 temps,270.000 ,Ouakam,media/annonces/pics/dd5b74ed55e9f35232a7e9fecf6ddcc5.jpg
2016 bmw s 1000rr,3.000.000 ,Dakar,media/annonces/pics/76afc7d459e512d1531f0a7cf7aa1bd4.jpg
Pneu  moto scooter,15.000 ,Maristes,media/annonces/pics/c2246dc4daf994ea350efe3e77c36f27.jpg
Moto lifan 125,280.000 ,Parcelles assainies,media/annonces/pics/927cf92db13c2261904b8d289952ec68.jpeg
Sh 150i à vendre,500.000 ,Hann Maristes,media/annonces/pics/e124ed5a9d7895fdbbbfb802c39c1220.jpg
KTM 250 SX-F EU de 2011,1.800.000 ,Ouakam,media/annonces/pics/52c1b2717db85224fdb54e012a0b3403.png
Moto liberty,220.000 ,Liberté 2,media/annonces/pics/f4797087187367d178d286846feb8bd1.jpeg
Honda,550.000 ,Sicap liberté,media/annonces/pics/bf701c90cb13896f2b3a66fb5398ed60.jpg
Ktm 85 sx 2009,450.000 ,Almadies,media/annonces/pics/982a69583809ff21c2ef7149c2aab7c6.png
Moto majesty 250 à vendre,475.000 ,Tivaouane,media/annonces/pics/4c6a8c013d09048bf8184f880eec6525.jpeg
Typhoon 50,160.000 ,Dieuppeul,media/annonces/pics/d34a45fa9f1bf4d503332206bed35a70.jpeg
Liberty 200,500.000 ,Hann Bel-Air,media/annonces/pics/10dd046c87df7a7fae61f356aaaa6b88.jpeg
Liberty nouveau modèle venant,425.000 ,Hann Bel-Air,media/annonces/pics/dfd0169206b87da4621f5d17880b9b87.jpeg
Moto KTM 690 SM 2016,3.000.000 ,Almadies,media/annonces/pics/ae63db9db7856fb541b9d77c3ad64aca.jpg
Sport city 200cc,550.000 ,Dakar,media/annonces/pics/b110408bdb5126bcdd68599e426b32bc.jpeg
Scooter  yamaha 125cc,350.000 ,Grand Dakar,media/annonces/pics/b00d6697fc633c72589ff148eaa2ba0e.jpg
Motos xc 300,450.000 ,Guédiawaye,media/annonces/pics/d4e1b493f9e45346284d127d4c57452a.jpg
Moto KTM 690 sm,2.800.000 ,Almadies,media/annonces/pics/3b9168ba93dbffd21d3367ee263b691e.jpeg
PIGGIO FLY 100 AV,300 ,Dakar,media/annonces/pics/67e74ffe8fed7e33358853edd1baaa5f.jpg
scooter mbk,250.000 ,Parcelles assainies,media/annonces/pics/28342d5395ff885868c9d22d4689ac56.jpg
moto triump,750.000 ,Rufisque,media/annonces/pics/aaee6af94e67402f101c2c703522b883.png
nnnn,80.000 ,Diamniadio,img/nophoto.png
tmax 2012 avec moteur 560 Dx 2018,2.450.000 ,Sacré Coeur,media/annonces/pics/38c81c928767940d4bb795d0468417b6.jpg
KTM 690 Prestige Supermoto,1.450.000 ,Saly,media/annonces/pics/a68aa41149556d9b6ba37217464b6b23.jpg
Liberty 125,330.000 ,Dakar,media/annonces/pics/24b6852390bc88d6b3a8fe18df36f0cd.jpeg
Yamaha xmax venant,700.000 ,Dakar,media/annonces/pics/d644d311bf7234640fe44cdfc86ad46e.jpeg
Beverly 500,750.000 ,Yoff,media/annonces/pics/01d7dae8112de3c14fee11911f8b0c7b.jpg
BMW s1000r,3.000.000 ,Yoff,media/annonces/pics/fba4fd967c420d4f30765afdb67236e7.jpeg
Moto Aprilia rouge noir,200.000 ,Almadies,media/annonces/pics/add49fe140f1e325b342de64fc5790a4.jpg
Tmax dx,3.000.000 ,Dakar,media/annonces/pics/a2d0f1fe58775385fa730b2a3577128e.jpg
Emploi,60.000 ,Colobane,img/nophoto.png
Scooter,435.000 ,Guédiawaye,media/annonces/pics/68e395df2c599849355f192a2ac79338.jpg
TRICYCLE moto taxi 200cc en très bon état,1.000.000 ,Rufisque,media/annonces/pics/67d8803c16fa011c3accc8d6df614c79.jpg
Vente de Yamaha très propre et très puissante,2.300.000 ,Kolda,media/annonces/pics/5705aa1fe888be9d81c8dd53dd06fb33.jpg
Yamaha neo’s,280.000 ,Dakar,media/annonces/pics/cad4ef26ef65f3d0bb6c57888d340534.jpg
A vendre MOTOCROSS YAMAHA YZ450,1.500.000 ,Almadies,media/annonces/pics/dc8306b795ffada68ac352e6ec5876ab.jpg
Scooter Typhoon,100.000 ,Dakar,media/annonces/pics/b4ba2d0d3600bc8ad76247626cb783a3.jpg
X9 500,600.000 ,Rufisque,media/annonces/pics/7c0d2666218bee63fbcbff23c73fe7f5.jpg
Z1000,2.200.000 ,Dakar,media/annonces/pics/bf85f2ba41e0309041204aa994aa47b8.jpg
Xcity 250 injection,800.000 ,Sacré Coeur,media/annonces/pics/cec87116f8f1387f52ca5f26d3da0a99.jpeg
Liberty 150,425.000 ,Dakar,media/annonces/pics/630877816cd08ed435602ebf443f91be.jpg
Typhoon nouveau modèle,180.000 ,Liberté 2,media/annonces/pics/1bdac600c438b0e86c47baf4cc4677b9.jpg
Yamaha XMax 250i,700.000 ,Thiès,media/annonces/pics/43115af59d16c2a9ce9fba2d7098595e.jpg
Yamaha XMax 250i,700.000 ,Thiès,media/annonces/pics/1383c54eed02da44b469d70724fcdfbb.jpg
2018 BMW R 1200 GS ADVENTURE,3.000.000 ,Dakar,media/annonces/pics/0b8ac28338bdbf71fdda8d98ffcd8bd5.jpg
Malagutti f10,115.000 ,Thiès,media/annonces/pics/8840b9f93a039723d2f3e61a7e35bbf4.png
gilera nexus 500,700.000 ,Pikine,media/annonces/pics/9e766762522a192fcfa659245aad5470.jpg
Moto ducati hypermétropie 803cc,1.300.000 ,Dakar,media/annonces/pics/9168e331223589e664cd744271cb6d6f.jpg
Yamaha Majesty,550.000 ,Dakar,media/annonces/pics/afef37d8d6449dec8e656995f195de20.jpg
Moto Jakarta KTM,160.000 ,Keur Massar,img/nophoto.png
Moto flu Derby 125,325.000 ,Dakar,media/annonces/pics/9c4315f88d48aa4ec44d327dd9bd8c4e.jpeg
Honda Nigthawk,650.000 ,Dakar,media/annonces/pics/9b31411a6542a94162edcf5a4202419c.jpg
Moto Kymco,350.000 ,Gueule tapée,media/annonces/pics/de47b6a2a02a78dbcb9c2155a047425b.jpg
Honda Forza,450.000 ,Ouakam,media/annonces/pics/9a8d029839e3d06305c97d31a89d7a00.jpg
Scooter à vendre,750.000 ,Almadies,media/annonces/pics/800130d731aa37be30ce2e22da92e353.jpg
Moto  Jakarta,320.000 ,Ouest Foire,img/nophoto.png
Vente d’une  moto  Majesty 400 neuve,900.000 ,Almadies,media/annonces/pics/4f0edc3ac1e65dd1b4119175dbc149ce.jpg
Burgman 150,450.000 ,Rufisque,media/annonces/pics/8c536965491fccaf727652ef86b6f9b0.jpg
Burgman 400,850.000 ,Rufisque,img/nophoto.png
Vespa Lx 150,520.000 ,Dakar,media/annonces/pics/e5a33e6316119ee9c57dacf5e00de283.jpg
Yamaha MT03,1.400.000 ,Pikine,img/nophoto.png
Moto Kawazaki,950.000 ,Diamniadio,media/annonces/pics/b1b7bff1eb645a7939452b8dc2d6aeef.jpg
Moto Enduro Honda,1.200.000 ,Liberté 6,media/annonces/pics/1a98e31f3bc554b499bfab9c48d0fb21.jpg
Moto Atlantique,600.000 ,Mbao,media/annonces/pics/8d1681435eb681ccdd3a39014d7c67e3.jpeg
Recherche ma toute première moto,250.000 ,Mermoz,img/nophoto.png
