brand,price,address,image_link-src
Iphone 6 simple,130.000 ,Plateau,media/annonces/pics/9dc1cf2ff3a464553891afc718704bb5.jpg
Vends un Tecno camon x pro,135.000 ,Plateau,media/annonces/pics/21192c68f3734e184c4a49a3d2bd73fc.jpg
Ipad air 1,100.000 ,Plateau,media/annonces/pics/5ce958ccba81e204596af621e56f446f.jpg
Samsung galaxy grand prime plus 4g,57.000 ,Plateau,media/annonces/pics/f57c0f01b47c67ad134a7304efe62f95.jpg
Samsung galaxy s6 edge,159.900 ,Plateau,media/annonces/pics/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg
Motorola e4 plus,89.900 ,Plateau,media/annonces/pics/92c7994737a276dd1fc2c290411a5ff3.jpeg
Galaxy note 8,430.000 ,Plateau,media/annonces/pics/871f957aa0a064da0a2befd2c53ab42c.jpg
Samsung galaxy j3,69.900 ,Plateau,media/annonces/pics/588aab0a7019eeb3f3ca0741a651674a.png
Iphone 8 plus,500.000 ,Plateau,media/annonces/pics/bba3d66b958b8ce0a3cef3ce70057d68.jpg
Tablette enfant android 9pouces polaroid,32.500 ,Plateau,media/annonces/pics/28ffdeee367c3fddf25cca65a89dc226.jpg
Tecno f2,39.900 ,Plateau,media/annonces/pics/88a806ac2389205be1c624a51af50acc.jpg
Tecno w2,37.000 ,Plateau,media/annonces/pics/6686654eb11158bcfef5bdc6521f4ce8.jpg
Iphone 6s,169.900 ,Plateau,media/annonces/pics/2dca2e50e33253daee573995c6b520f5.jpg
Tecno spark 2,64.900 ,Plateau,media/annonces/pics/4536f210e514c85d86298e11f7ff263b.png
Samsung galaxy j4,105.000 ,Plateau,media/annonces/pics/0086d33c2014997a88213f1f87877017.png
Iphone 5s 16gb gold,94.900 ,Plateau,media/annonces/pics/77d0bd6ac35276e49277ce26777d8e5c.jpg
Invens f3,47.000 ,Plateau,media/annonces/pics/c4bcc6a1445c33727d86e255240e4a53.jpg
Tecno x camon,114.900 ,Plateau,media/annonces/pics/5abaa148aae9af69d6b2987266c3ac29.png
Samsung galaxy s6 edge,160.000 ,Plateau,media/annonces/pics/b09d788c7794fd2d16c632fa3e32d6ea.jpg
Samsung galaxy j1 ace,44.900 ,Plateau,media/annonces/pics/b6d7220266fad3290bda735b1883d744.jpg
Iphone 7 plus,320.000 ,Plateau,media/annonces/pics/85e145bdb8bf070f84a0a14e60d66a08.jpg
Invens royal r7,29.900 ,Plateau,media/annonces/pics/a59dce6a166671a24f67b00c9eff929e.jpg
Motorola e4 plus,89.900 ,Plateau,media/annonces/pics/5ca6807ed1d73751ddc7f139c9880a48.jpg
Samsung galaxy s7 32gb,170.000 ,Plateau,media/annonces/pics/7c7922bf179115f5f9db5f8b474fbe9d.png
Samsung galaxy j7 pro 2017,149.900 ,Plateau,media/annonces/pics/da0d17cf899db710d8c1d750e8dbef25.jpg
Samsung Galaxy note 8,340.000 ,Plateau,media/annonces/pics/a5bc854721d2c6216ce4f459e6110cf2.jpg
Tecno spark k7,57.000 ,Plateau,media/annonces/pics/bf7d0b71d76a3c28f7122a3eb4135489.png
Lg v10,110.000 ,Plateau,media/annonces/pics/1f0fe234425867db3b49a15ff1d8dced.jpg
Invens d4,34.900 ,Plateau,media/annonces/pics/edd311adc211fdce51e1c077593cbb0c.jpeg
Samsung grand prime+,57.900 ,Plateau,media/annonces/pics/dba15b4eeb7eb1bbe0b2ff8c040ea591.jpg
Iphone 7,230.000 ,Plateau,media/annonces/pics/fd52827e805be3dadbc9ddad94254903.jpg
Iphone 6s 16go,125.000 ,Plateau,media/annonces/pics/e237b902da194da011f7c226aa7153b2.jpg
Tecno spark k7,58.000 ,Plateau,media/annonces/pics/ce6d4e6cdb3fac618d9977a2bb979189.png
Nokia 3,79.900 ,Plateau,media/annonces/pics/5bad42836e57971f3c013abd779c986f.jpg
Samsung galaxy s6 edge,160.000 ,Plateau,media/annonces/pics/43d1b41d97beaf2b8d143decf0705452.jpeg
Iphone 6 plus,170.000 ,Plateau,media/annonces/pics/0bd7599ed8dc2659e520d980a0721e47.png
Samsung galaxy j4,104.900 ,Plateau,media/annonces/pics/d4f28be1ab704d2f48a636a6be5ef446.jpeg
Infinix hot 3s,99.900 ,Plateau,media/annonces/pics/5e33683484b9e9f2026cf46e8dacf2a4.jpg
Samsung galaxy prime pro,70.000 ,Plateau,media/annonces/pics/3f9d08be31af86b8f38c4a82f3cf4847.jpg
Samsung galaxy s6 32gb,120.000 ,Plateau,media/annonces/pics/31c5a61ff1439fb1fbaf69239cbb42f3.jpg
Samsung galaxy j2,59.900 ,Plateau,media/annonces/pics/f092091d3ddeed9fe74c44eb02389d3b.jpg
Samsung galaxy s6 edge,150.000 ,Plateau,media/annonces/pics/f702be046d5de30bae428aae278d02cf.jpg
Tecno pouvoir 2 4g lte,79.900 ,Plateau,media/annonces/pics/754a0df3fd8ca95ba7e31695cbbd977b.jpg
Tecno f2,39.900 ,Plateau,media/annonces/pics/2352829a0aa968b90d61930e7ca1c80d.jpg
Tecno f2,39.900 ,Plateau,media/annonces/pics/8c1c43193389f15051ce7f8294f0f894.png
Iphone 5s,80.000 ,Plateau,media/annonces/pics/9ac210570d28d717ec3945ea85ed0e55.jpg
Tecno spark k7,57.900 ,Plateau,media/annonces/pics/6d15d1477e739313a8c609184197b88e.png
Hp 15 pro,135.000 ,Plateau,media/annonces/pics/331ad5799ca5883f6b8b04f58bde3e1b.jpeg
Huawei y7 prime,109.900 ,Plateau,media/annonces/pics/17c52006a6f3e5713253ca558217864c.jpg
Huawei mate 10 lite,149.900 ,Plateau,media/annonces/pics/badfca7b64f8531287fb9868e90e9596.jpg
Nokia 5,94.900 ,Plateau,media/annonces/pics/bfcc7bf74cfe864e3cceba5d6e9e3d07.jpg
Samsung galaxy grand prime pro,75.000 ,Plateau,media/annonces/pics/bb5313ea709d78e830b88d858db31815.jpg
Grand studio à ngor almadies,200.000 ,Plateau,media/annonces/pics/f9ba907cb13881f52221e2469b920fd1.jpg
Iphone 6 à vendre,159.000 ,Plateau,media/annonces/pics/04d0604391cac2e6e96bce1cf7985f06.jpg
chargeur sans fil wireless pour samsung et iphone,10.000 ,Plateau,media/annonces/pics/9bc2228a2a08843aec3dfee6c298eea0.jpg
Samsung galaxy s5,90.000 ,Plateau,media/annonces/pics/1c9ee0aa906cfbec40723c13f538b8a2.jpg
Samsung galaxy grand prime plus 4g,59.900 ,Plateau,media/annonces/pics/17dcbeb2aa8da2563446397de0c08c41.jpg
Itel s32,54.900 ,Plateau,media/annonces/pics/45ac291d4f2a9dfec42d48850a792082.jpg
huawei p8 lite,45.000 ,Plateau,media/annonces/pics/795aaee7ecc2d27533d5c536451def45.jpg
Infinix zero 4,129.900 ,Plateau,media/annonces/pics/20a03220ba8615a84e3f0c167ba8c67b.jpg
Microsoft lumia 640,69.900 ,Plateau,media/annonces/pics/caa09c7fdad89d4e7e93415b0670e996.jpg
Samsung j7 néon,99.900 ,Plateau,media/annonces/pics/d891d593745e9966bfa9e11e29d8954b.jpg
Huawei p20 pro,490.000 ,Plateau,media/annonces/pics/b200a8d35f8d9a87168690ae5b6f9f85.jpg
Huawei p20 pro,450.000 ,Plateau,media/annonces/pics/cad1c94365c31c73f82f1985dd38b434.png
Iphone 6,130.000 ,Plateau,media/annonces/pics/757fac7a210a978b68b8ab8bc71b9860.jpg
Iphone 7 plus rouge,375.000 ,Plateau,media/annonces/pics/465819f1091173390499a480a108d070.jpg
Montre connectee Smartwatch  à vendre,20.000 ,Plateau,media/annonces/pics/fe495befdc9db89e1e30fcfe3c466db8.jpg
Iphone 6s plus,245.000 ,Plateau,media/annonces/pics/fb9e0d451ecc23c7ec027bfd08b686be.jpg
Huawei mate 9,145.000 ,Plateau,media/annonces/pics/347bd12195082ee983da34115b386aca.jpeg
Iphone 8 plus 256 GB,510.000 ,Plateau,media/annonces/pics/0fca93f66305e4bab65a73af4c51d260.jpg
samsung galaxy s4,45.000 ,Plateau,media/annonces/pics/2c8ca385fd199d7f9a513536a9575c62.jpg
Invens e2,28.000 ,Plateau,media/annonces/pics/a7f7e60ac5bafc9f29cdfe5c1e7f5752.jpg
Iphone 5s,80.000 ,Plateau,media/annonces/pics/9386e740bf701bede72836f1b67ee0c6.jpg
Iphone 6,125.000 ,Plateau,media/annonces/pics/2d9d988847175ddaba11bd0313edab9d.jpeg
Huawei mate 10 lite,154.900 ,Plateau,media/annonces/pics/c9ca31fc514aac4b76379af727ba1e0b.jpg
Tecno n9,44.900 ,Plateau,media/annonces/pics/17d14dbf6eedc3ebc90878cd3cb902a5.jpeg
Motorola e4 plus,89.900 ,Plateau,media/annonces/pics/b56c4da35fa7683d33158390590e4986.jpg
Alcatel idole 3,54.900 ,Plateau,media/annonces/pics/e2c8cb2321f320b40f4a20fac11eeca8.jpg
Infinix hot 6 pro,84.900 ,Plateau,media/annonces/pics/9a0479bb83f6026fba1ce13eef00399c.jpg
Xiaomi mi band 2,25.000 ,Plateau,media/annonces/pics/505dadcbeecf90ee614e1d388141fb04.jpg
Samsung galaxy j7 prime,80.000 ,Plateau,media/annonces/pics/6194c397e8e8a3fa23e371257274a795.jpeg
Sony xperia l1,105.000 ,Plateau,media/annonces/pics/c7f471d246a533d17a32e7eda85f9a09.jpg
Iphone 5s scellé,110.000 ,Plateau,media/annonces/pics/296dbc3103df43d66e322a19b2789289.jpg
Samsung galaxy s9 plus duos,450.000 ,Plateau,media/annonces/pics/cb93ad5cf8279f8666ed36e77715862f.jpg
Samsung galaxy s6 edge plus,185.000 ,Plateau,media/annonces/pics/40796c82a5ca1d53c9e3439fe3f4456e.jpg
Tecno camon x pro,134.900 ,Plateau,media/annonces/pics/6d0295caf94713c1fa0c662022598279.jpg
Huawei mate 10 pro,365.000 ,Plateau,media/annonces/pics/58ac0faefe44583c16b0216a696352a9.jpg
Iphone 8 plus 64 GB,380.000 ,Plateau,media/annonces/pics/a3a8265b012f90b0078291945222a29c.jpg
Samsung galaxy grand prime plus 4g,59.900 ,Plateau,media/annonces/pics/45e45ae189799ce4b13263a27a397d3f.jpg
Galaxy s8 plus,310.000 ,Plateau,media/annonces/pics/5113820823484e006b5faf7c7d4360fb.jpg
Samsung galaxy s8,350.000 ,Plateau,media/annonces/pics/9736a43a3c6d141a63ffba1503cf62a0.jpg
Tecno x pro,139.400 ,Plateau,media/annonces/pics/6dbe321592f2ee434cf5eaaadca3bb4b.jpg
Itel 1408,27.900 ,Plateau,media/annonces/pics/88314030a40502ad00622f85e9dacec7.jpg
Ecouteur sans fil Airpod original,110.000 ,Plateau,media/annonces/pics/5b8246fa5ab9ec12293f37e046da4a28.jpg
Samsung galaxy s6 gold 32g,100.000 ,Plateau,media/annonces/pics/71f7e35d57094b94f8bfe76b5ea61037.jpg
Invens city x3 originale 32 go,34.900 ,Plateau,media/annonces/pics/512b55874425e186cedbebda861678cd.jpg
Samsung galaxy s7 32 gb,145.000 ,Plateau,media/annonces/pics/c706e51d1ef4e7a77120a219a2ddd3fe.png
Samsung galaxy j6,124.000 ,Plateau,media/annonces/pics/104c3b9596d9ae9b4255690afd929859.jpeg
huawei P8 lite Dual sim,75.000 ,Plateau,media/annonces/pics/04dda1a360ce4d98c8f1b199a08dbb2d.jpg
Alcatel one touch,20.000 ,Plateau,media/annonces/pics/34bb309b1d1f552e68801362ab9169e1.jpeg
Montre intelligent,14.500 ,Plateau,media/annonces/pics/fcdfcc8c42fb6a0ed0922063a847fa9d.jpg
Iphone 6s rose,165.000 ,Plateau,media/annonces/pics/cea864ec3e2df19bc3187b77d3311ffe.jpg
Oneplus one,90.000 ,Plateau,media/annonces/pics/ceb1a6d04c3117e1c63282bb0b15fda7.jpg
Samsung galaxy j7 core,114.900 ,Plateau,media/annonces/pics/960d48796b26496be55514ed33cd3617.jpg
SAMSUNG GALAXY S8 Plus,320.000 ,Mbacké,media/annonces/pics/56af5fcc8cc4188a600583325c8d2747.jpg
Iphone x 256 GB,660.000 ,Plateau,media/annonces/pics/f260f4b3e405a05985aaeee3a00987b0.jpg
Tecno camon cx original,94.900 ,Plateau,media/annonces/pics/4836e677ad53392e54021233950d9a5d.jpg
Samsung s8 +,350.000 ,Plateau,media/annonces/pics/7706fbf0159d8d05a6e791345b1b0988.png
Smartwatch,20.000 ,Plateau,media/annonces/pics/acd6742e4e23453e015b97c8ed908dd8.jpg
Vends Iphone 6+,165.000 ,Plateau,media/annonces/pics/0d474d1021d9e2cf5ad975c3973925f6.png
Power bank,15.000 ,Plateau,media/annonces/pics/67735f23c8757cc1dfd9c3e928dfacff.jpg
Tablette android,35.000 ,Plateau,media/annonces/pics/0ff614779fc2db224de54e5126606de4.jpg
Huawei y7 prime,119.900 ,Plateau,media/annonces/pics/ea7b3991e9cbcc94fdd75e2c134290e0.jpg
Samsung galaxy s7 edge,169.000 ,Plateau,media/annonces/pics/62b5b034284d031c5560c2c3f7e59feb.jpg
Samsung galaxy note 5,175.000 ,Plateau,media/annonces/pics/7980e05200a02734d6b1b66cb20c82c0.jpg
Vends Samsung galaxy j2 original,54.900 ,Plateau,media/annonces/pics/4896d7b2b000c19b4fdeb47ff4b33230.jpg
Samsung galaxy c5 pro,179.900 ,Plateau,media/annonces/pics/b4c9aa3d0fccb523975d97c96c276130.jpg
Vends Iphone 5,70.000 ,Plateau,media/annonces/pics/910da035129f11e24a98b182e11e1190.jpg
iPhone 6 plus,200.000 ,Plateau,media/annonces/pics/a36af019eb6f085099f309f8bb7c8e00.jpeg
Hp + écran,60.000 ,Plateau,media/annonces/pics/19cf9d37ad030a8551fced6bb33ba52e.jpg
iPhone 6+ 64GB,200.000 ,Plateau,media/annonces/pics/a3264a640c84af8372bfbd46b0787f70.jpeg
Iphone 7 plus,315.000 ,Plateau,media/annonces/pics/b9b4394e88f3abd71264071bab465a37.jpeg
Samsung galaxy j7,125.000 ,Plateau,media/annonces/pics/4a09c6e6fe248aa45493751efd4f8e25.jpg
Samsung galaxy note 5 32gb,150.000 ,Plateau,media/annonces/pics/12296dcc3aaf9d743753ff64a782df90.jpg
Vends iphone 6,125.000 ,Plateau,media/annonces/pics/3bf48035d1db7d0423029fdbdf555ec9.jpg
Samsung galaxy s6 edge,159.900 ,Plateau,media/annonces/pics/d28a62cbb4112ad8a83c07e49bc3320b.jpeg
Hp elitebook 850 g3,220.000 ,Plateau,media/annonces/pics/18dd931c3311c4e472b67c8e5c168dcc.jpg
Samsung galaxy s7 edge,200.000 ,Plateau,media/annonces/pics/defccdd86133fe7de73547245c1822fa.jpg
Tecno f2 lite,54.900 ,Plateau,media/annonces/pics/3513a25d8b1a880f724b70d8748bbb2f.png
Apple watch 3 gps cellular,290.000 ,Plateau,media/annonces/pics/d5e2b10df67091ef70836809d16a839e.jpeg
Iphone x,675.000 ,Plateau,media/annonces/pics/f4c353d408d32293812dbf7a536deee0.jpg
Iphone 7,215.000 ,Plateau,media/annonces/pics/c3c1d2f608cc58712cb00acc5d719003.jpeg
Iphone X 64 GB,510.000 ,Plateau,media/annonces/pics/78b12747d4898abf27ad18360a3a87dd.jpg
Tecno f2,39.900 ,Plateau,media/annonces/pics/49024d566db37bb20e91c3e9933cde2a.jpg
Tecno n9,49.900 ,Plateau,media/annonces/pics/c3441bed923f29061b736fc18f62b16d.jpeg
Iphone x 64GB à vendre,675.000 ,Plateau,media/annonces/pics/c2ff2fe347e7551411fa952ab2885976.jpg
Tecno n9 4g lte,49.900 ,Plateau,media/annonces/pics/e396174d0744503b0b1f5cbe9976bfda.jpg
Samsung galaxy j3,69.900 ,Plateau,media/annonces/pics/f2a7271fdad0d98147a35f1d72cc541a.jpg
Samsung galaxy j7 pro,154.900 ,Plateau,media/annonces/pics/ed817d5380e019d1236ca07d97d873f9.jpg
Samsung j one ace,35.000 ,Plateau,media/annonces/pics/f2f2c18c94df56147840fd7c30bc4891.jpg
Iphone 5s,50.000 ,Plateau,media/annonces/pics/ccc4a6c17735b7f3bb53a6b7433578e3.jpg
Iphone 8 64 GB,330.000 ,Plateau,media/annonces/pics/e320f6d216794c99cdda57bd7d23828a.jpg
huawei P8,55.000 ,Plateau,media/annonces/pics/92a43e90024719494098594f8411a96a.jpg
Microsoft lumia 535,44.900 ,Plateau,media/annonces/pics/80c8153cf18b4a38366ad3fb912e32fc.jpg
Iphone 7,324.900 ,Plateau,media/annonces/pics/b76938c7bb6301e1309618b7ccbc122e.jpg
Iphone 7 plus noir,350.000 ,Plateau,media/annonces/pics/058688b58d84c5efcfe6c037d5591ebf.jpg
Iphone x,550.000 ,Plateau,media/annonces/pics/6a9f87e5218a4b103406cc83547659f2.jpg
Invens f3,47.000 ,Plateau,media/annonces/pics/b06e44f0bae66517f9ed88b463111720.jpg
Samsung galaxy s6 edge,159.900 ,Plateau,media/annonces/pics/2b5f383276709aa42378bd2fdb9a1b1d.jpeg
Vends  Samsung galaxy s6 32gb,120.000 ,Plateau,media/annonces/pics/837dc31e1238f3bd57bc067d1eb90925.jpg
Samsung galaxy a6 plus 32go,185.000 ,Plateau,media/annonces/pics/666b724124b5d87b4084c4222092eda9.jpg
Samsung grand prime pro,73.000 ,Plateau,media/annonces/pics/bba1886e0dd90aaf190fcc776438b2d2.jpg
Vends un Iphone SE 16 GO,130.000 ,Plateau,media/annonces/pics/b33faa3925a356003cb0d7176756741a.jpg
Samsung galaxy s6,150.000 ,Plateau,media/annonces/pics/182031e33f43765c00cd283d86228590.png
Vends Samsung galaxy s7 32gb,170.000 ,Plateau,media/annonces/pics/6baa80c5e1d8f13710f9e07b56106577.png
Infinix note 4/pro,100.000 ,Rufisque,media/annonces/pics/0900236fb448380ecd64c17e3388ba37.jpeg
Iphone 7 plus 128 GB,450.000 ,Plateau,media/annonces/pics/82df76b63780021e38fdc76ce2e66aee.jpg
Iphone 7 plus 256 GB,470.000 ,Plateau,media/annonces/pics/5cec529981cf55b76808f6ccb5f94880.jpg
Iphone 7 plus 32 GB,380.000 ,Plateau,media/annonces/pics/535bfd2a3fb666d844997ae40c2e82e9.jpg
